[2019-07-25 3353.026][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3353.026][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3353.026][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3354.040][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3354.040][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 195000
[2019-07-25 3354.040][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 196000
[2019-07-25 3354.040][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3354.040][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3354.040][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3354.040][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3354.040][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3355.054][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3355.054][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 192000
[2019-07-25 3355.054][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 196000
[2019-07-25 3355.054][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3355.054][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3355.054][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3355.054][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3355.054][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3356.067][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3356.067][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 191000
[2019-07-25 3356.067][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 196000
[2019-07-25 3356.067][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3356.067][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3356.067][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3356.067][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3356.067][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3357.081][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3357.081][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 204000
[2019-07-25 3357.081][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3357.081][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3357.081][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3357.081][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3357.081][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3357.081][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3358.095][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3358.095][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 203000
[2019-07-25 3358.095][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3358.095][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3358.095][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3358.095][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3358.095][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3358.095][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3359.109][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3359.109][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 201000
[2019-07-25 3359.109][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3359.109][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3359.109][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3359.109][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3359.109][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3359.109][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3360.123][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3360.123][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 199000
[2019-07-25 3360.123][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3360.123][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3360.123][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3360.123][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3360.123][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3360.123][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3361.137][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3361.137][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 198000
[2019-07-25 3361.137][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3361.137][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3361.137][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3361.137][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3361.137][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3361.137][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3362.151][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3362.151][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 195000
[2019-07-25 3362.151][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3362.151][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3362.151][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3362.151][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3362.151][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3362.151][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3363.165][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3363.165][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 194000
[2019-07-25 3363.165][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3363.165][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3363.165][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3363.165][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3363.165][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3363.165][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3364.179][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3364.179][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 192000
[2019-07-25 3364.179][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3364.179][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3364.179][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3364.179][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3364.179][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3364.179][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3365.193][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3365.193][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 190000
[2019-07-25 3365.193][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3365.193][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3365.193][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3365.193][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3365.193][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3365.193][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3366.207][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3366.207][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 204000
[2019-07-25 3366.207][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3366.207][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3366.207][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3366.207][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3366.207][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3366.207][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3367.221][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3367.221][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 203000
[2019-07-25 3367.221][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3367.221][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3367.221][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3367.221][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3367.221][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3367.221][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3368.234][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3368.234][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 200000
[2019-07-25 3368.234][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3368.234][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3368.234][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3368.234][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3368.234][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3368.234][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3369.248][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3369.248][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 198000
[2019-07-25 3369.248][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 204000
[2019-07-25 3369.248][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3369.248][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3369.248][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
